"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"334","Javonte Green","Chi","G-F","29.7","28","16","14","16.1","43","0.674","70","0.686","34","0.382","0.649","0.667","5.9","2.9","0.8","0.8","0.7","0.7","8.8","6.7","9.6","6","125.2","104"
"335","Stanley Johnson","San","F-G","26.8","30","15.6","15.3","21.1","39","0.667","83","0.578","40","0.45","0.61","0.628","5.9","3.2","2.2","0.5","0.2","1.1","9","8.1","11.3","8.9","117.6","111.7"
"336","Wenyen Gabriel","Lal","F","26","56","15.2","14.5","14.4","65","0.631","195","0.656","31","0.29","0.626","0.636","5.8","4.1","0.5","0.3","0.5","0.7","9.9","6.3","10.4","6","125.1","101.5"
"337","Jordan Goodwin","Was","G","24.4","49","17.3","15.8","15","49","0.755","167","0.491","76","0.355","0.504","0.533","5.8","3.2","2.4","0.9","0.4","0.9","8.9","8.2","11.3","8.2","113.9","106.9"
"338","George Hill","Ind","G","36.9","5","16.2","11.9","17.8","2","1","9","0.667","9","0.556","0.75","0.768","5.8","1.6","1.8","0.8","0.4","0.8","7.4","7.6","9.2","6.3","133.4","115.3"
"339","Dario Saric","Pho","F","28.9","37","14.4","18.7","16.8","44","0.818","109","0.45","69","0.391","0.503","0.545","5.8","3.8","1.5","0.4","0.1","1","9.6","7.4","11.2","8.9","110.5","101.6"
"340","Jaylin Williams","Okc","F","20.7","38","17.8","13.9","12.9","37","0.73","103","0.456","79","0.418","0.53","0.555","5.8","4.8","1.4","0.5","0.3","0.7","10.6","7.2","12","7.6","114.4","101.6"
"341","Charles Bassey","San","C-F","22.4","35","14.5","15.7","23.3","37","0.595","127","0.661","8","0.375","0.656","0.658","5.7","5.5","1.3","0.5","0.9","1.2","11.2","7","12.5","9.5","120.9","104.9"
"342","Oshae Brissett","Ind","F-G","24.7","54","16.2","15.1","8.1","101","0.693","118","0.483","130","0.323","0.484","0.53","5.7","3.4","0.6","0.5","0.2","0.4","9.1","6.3","9.7","5.6","112.9","112.2"
"343","Robert Covington","Lac","F","32.3","38","16.4","15.5","11.1","34","0.735","69","0.536","114","0.342","0.522","0.546","5.7","3.7","1.2","0.7","0.8","0.6","9.3","6.9","10.6","7.2","112.9","102.7"
